Code,Type,Condition,Recovery
-783,hard error,The TDM4 notifies: 'No CAN-communication',Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-784,hard error,The TDM4 has notified a fault,Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-785,hard error,The TDM4 notifies: Incorrect Sim-File version,Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-786,hard error,The TDM4 notifies: SPI-fault message 1 (not further defined),Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-787,hard error,The TDM4 notifies: SPI-fault message 2 (not further defined),Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-788,hard error,The TDM4 notifies: SPI-fault message Interface busy,Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-789,hard error,The TDM4 notifies: SPI-fault message Data register busy,Check Can-Bus connection.  possible TDM4 module fault. Check LEDs on module
-790,hard error,The TDM4 notifies: Pt100 AD-converter busy,Check connections.  possible TDM4 module fault. Check LEDs on module. Das TDM4 meldet: Pt100 AD-Wandler meldet Busy
-791,hard error,The TDM4 notifies: Pt100 AD-converter is on end stop,Check connections.  possible TDM4 module fault. Check LEDs on module
-792,hard error,A TDM4 is present on the CAN-Bus, but according to the SimFile it should not be there
-793,hard error,One of the control cabinet doors is open,
-794,hard error,The contactor KHK5.1 of the heating cartridge 1 of heating chamber 5 has tripped,Reset circuit breaker
-795,hard error,The contactor KHK5.2 of the heating cartridge 2 of heating chamber 5 has tripped,Reset circuit breaker
-796,hard error,HT-stage twin compressor 1 contactor (HT-KV1) has tripped,Reset circuit breaker
-797,hard error,HT-stage twin compressor 2 contactor (HT-KV2) has tripped,Reset circuit breaker
-798,hard error,Sensor defect: temperature of the oil separator of HT-stage compressor 1 (HT-RF36V1). Sensor must be replaced,
-799,hard error,Sensor defect: temperature of the oil separator of HT-stage compressor 2 (HT-RF36V2). Sensor must be replaced,
-800,hard error,Sensor defect: sensor of fluid pipeline behind condensor HT-stage (HT-RF28),Sensor must be replaced
-801,hard error,HT-stage compressor oil level (HT-FA3) has tripped (trips if oil level is too low),
-802,hard error,HT-stage compressor 1 protection device has tripped,Reset circuit breaker
-803,hard error,HT-stage compressor 2 protection device has tripped,Reset circuit breaker
-804,hard error,Pressostat compressor 2 HT-stage (HT-F5.1V2) has tripped,Check machine cooling (water or air). If air check for free circulation of cool air. If water check for adequate supply of cooling water (filter blocked
-805,hard error,HT-stage frequency converter 1 has tripped,Reset circuit breaker
-806,hard error,HT-stage frequency converter 2 has tripped,Reset circuit breaker
-807,hard error,HT-stage compressor 1 protection device signals a pause time although it shouldn't,
-808,hard error,HT-stage compressor 2 protection device signals a pause time although it shouldn't,
-809,hard error,Low pressure pressostat 1 HT-stage (HT-F10V1) has tripped,Check machine cooling (water or air). If air check for free circulation of cool air. If water check for adequate supply of cooling water (filter blocked
-810,hard error,Low pressure pressostat 2 HT-stage (HT-F10V2) has tripped,Check machine cooling (water or air). If air check for free circulation of cool air. If water check for adequate supply of cooling water (filter blocked
-811,hard error,The activation of the signal contact of the contactor KV3.1 for compressor cooling of the expansion and vent lines is not synchronous,
-812,hard error,The maximum operating pressure monitor of the compressor circuit which cools the expansion and vent lines has tripped,
-813,hard error,The superheat monitor of the compressor circuit which cools the expansion and vent lines has tripped,
-814,hard error,The minimum operating pressure monitor of the compressor circuit which cools the expansion and vent lines has tripped,
-815,hard error,
-816,hard error,On start-up the cooling water valve SWV3 was not found,Check wiring to cooling water valve SWV3.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-817,hard error,The cooling water valve SWV3 does no longer responds,Check wiring to cooling water valve SWV3.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-818,hard error,A SWV3 is present on the CAN-Bus, although according to the SIM-File it should not be there. Possible SimFile error
-819,hard error,The stepper motor for the water valve 3 says: 'Hardware cannot be found,Check wiring to cooling water valve SWV3.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-820,hard error,The stepper motor for the water valve 3 says: 'Incorrect Sim-File in Module.' Possible incorrect or faulty stepper motor module,
-821,hard error,The stepper motor water valve 3 says: Wrong Sim-File Version Possible incorrect or faulty stepper motor module,
-822,hard error,The stepper motor water valve 3 says: 'No CAN-communication',Check wiring to cooling water valve SWV3.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-823,hard error,The stepper motor water valve 3 has notified a fault. Possible incorrect or faulty stepper motor module,
-824,hard error,Suction gas superheat HT stage too small,
-825,hard error,The communication watchdog time has expired,
-826,hard error,The module SMO2 is configured with a controller for the mt stage, but it shouldn't
-827,hard error,motor protection MT -stage (QV1-MT),MT stage over current trip QV1-MT has operated. Reset by hand. Check all power supplies correct
-828,hard error,DIC1 does not respond,CAN-Bus or DIC1 (Digital input counter) module problem
-829,hard error,DIC1 Timeout,DIC1 (Digital input counter module) signals no data received from Controller in last 30s - CAN problem
-830,hard error,DIC1 unknown error,
-831,hard error,DIC1 not found,DIC1 module (A18.1) cannot be found on the CAN-Bus although it should be present DIC1 nicht gefunden
-832,hard error,A DIC1 is present on the CAN-Bus, but according to the SimFile it should not be there
-833,hard error,HT-stage condensation pressure sensor faulty,HT-stage condensation pressure sensor OK
-834,hard error,MT-stage condensation pressure sensor faulty MT-stage condensation pressure sensor OK,
-835,hard error,LT-stage condensation pressure sensor faulty,LT-stage condensation pressure sensor OK
-836,hard error,The input 1 of the DIC1 is fluttering,Intermittent contact at input 1 of DIC1 (Digital impulse counter module)
-837,hard error,The input 2 of the DIC1 is fluttering,Intermittent contact at input 2 of DIC1 (Digital impulse counter module)
-838,hard error,The input 3 of the DIC1 is fluttering,Intermittent contact at input 3 of DIC1 (Digital impulse counter module)
-839,hard error,The input 4 of the DIC1 is fluttering,Intermittent contact at input 4 of DIC1 (Digital impulse counter module)
-840,hard error,The DAM of the blow down unit is not responding,Digital output module no longer answers. Possible CAN-Bus or module problem. Check connections. Are module LEDs lit
-841,hard error,The SMO of the blow down unit is not responding,Stepper motor module no longer answers. Possible CAN-Bus or module problem. connections. Are module LEDs lit
-842,hard error,Fault by the measurement of the intermediate injection of the HT stage,
-843,hard error,Fault by the measurement of the intermediate injection of the LT stage,Possible fault on pressure sensor for measuring the intermediate injection of the LT stage
-844,hard error,Fault by the measurement of the intermediate injection of the HT stage,
-845,hard error,Fault by the measurement of the intermediate injection of the HT stage,
-846,hard error,Fault by the measurement of the intermediate injection of the LT stage,Possible fault on Pt100 sensor for measuring the intermediate injection of the LT stage
-847,hard error,The measured value of SMO1 temperature sensor 1 out of range,The temperature sensor 1 on SMO1 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-848,hard error,The measured value of SMO1 temperature sensor 2 out of range,The temperature sensor 2 on SMO1 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-849,hard error,The measured value of SMO2 temperature sensor 1 out of range,The temperature sensor 1 on SMO2 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-850,hard error,The measured value of SMO2 temperature sensor 2 out of range,The temperature sensor 2 on SMO2 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-851,hard error,The measured value of SMO3 temperature sensor 1 out of range,The temperature sensor 1 on SMO3 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-852,hard error,The measured value of SMO3 temperature sensor 2 out of range,The temperature sensor 2 on SMO3 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-853,hard error,The measured value of TDM1 temperature sensor 1 out of range,The temperature sensor 1 on TDM1 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-854,hard error,The measured value of TDM1 temperature sensor 2 out of range,The temperature sensor 2 on TDM1 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-855,hard error,The measured value of TDM2 temperature sensor 1 out of range,The temperature sensor 1 on TDM2 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-856,hard error,The measured value of TDM2 temperature sensor 2 out of range,The temperature sensor 2 on TDM2 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-857,hard error,The measured value of TDM3 temperature sensor 1 out of range,The temperature sensor 1 on TDM3 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-858,hard error,The measured value of TDM3 temperature sensor 2 out of range,The temperature sensor 2 on TDM3 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-859,hard error,The measured value of TDM4 temperature sensor 1 out of range,The temperature sensor 1 on TDM4 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-860,hard error,The measured value of TDM4 temperature sensor 2 out of range,The temperature sensor 2 on TDM4 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-861,hard error,The measured value of AIO1 temperature sensor 1 out of range,The temperature sensor 1 on AIO1 X1:13/14 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-862,hard error,The measured value of AIO1 temperature sensor 2 out of range,The temperature sensor 2 on AIO1 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-863,hard error,The measured value of AIO2 temperature sensor 1 out of range,The temperature sensor 1 on AIO2 X1:13/14 measured value out of range. Possible module. problem.  bad connection or Pt100 defect. Check and replace if necessary
-864,hard error,The measured value of AIO2 temperature sensor 2 out of range,The temperature sensor 2 on AIO2 X1:15/16 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-865,hard error,The measured value of SWV1 temperature sensor 1 out of range,The temperature sensor 1 on SWV1 X4 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-866,hard error,The measured value of SWV1 temperature sensor 2 out of range,The temperature sensor 2 on SWV1 X5 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-867,hard error,The measured value of SWV2 temperature sensor 1 out of range,The temperature sensor 1 on SWV2 X4 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-868,hard error,The measured value of SWV2 temperature sensor 2 out of range,The temperature sensor 2 on SWV2 X5 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-869,hard error,The measured value of SWV3 temperature sensor 1 out of range,The temperature sensor 1 on SWV3 X4 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-870,hard error,The measured value of SWV3 temperature sensor 2 out of range,The temperature sensor 2 on SWV3 X5 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-871,hard error,Status contact of the fan 3 has operated,Check fan 3 connections and connector and power supply
-872,hard error,Status contact of the fan 4 has operated,Check fan 4 connections and connector and power supply. Water valve position check does not behave as expected. The water valve position feedback is not synchronised with the control signal position
-874,hard error,The cooling water control valve KRV does no longer responds,Check wiring to cooling water valve KRV.  check LED lit on its rear side. Check connections to Bus Board. Possible KRV or bus board or wiring fault
-875,hard error,The cooling water control valve KRV says: 'Hardware cannot be found,Check wiring to cooling water valve KRV.  check LED lit on its rear side. Check connections to Bus Board. Possible KRV or bus board or wiring fault
-876,hard error,The cooling water control valve KRV says: 'Incorrect Sim-File in Module.' Possible incorrect or faulty cooling water control valve module KRV,
-877,hard error,The cooling water control valve KRV says: Wrong Sim-File Version Possible incorrect or faulty cooling water control valve module KRV,
-878,hard error,The cooling water control valve KRV says: 'No CAN-communication',Check wiring to cooling water control valve KRV.  check LED lit on its rear side. Check connections to Bus Board. Possible KRV or bus board or wiring fault
-879,hard error,The cooling water control valve KRV has notified a fault,Possible incorrect or faulty cooling water control valve module KRV
-880,hard error,The measured value of KRV temperature sensor 1 out of range,The temperature sensor 1 on KRV X4 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-881,hard error,The measured value of KRV temperature sensor 2 out of range,The temperature sensor 2 on KRV X5 measured value out of range. Possible module problem.  bad connection or Pt100 defect. Check and replace if necessary
-882,hard error,The safety circuit module 1 signals: 'The mains frequency monitor has identified a problem',
-883,hard error,The safety circuit module 1 signals: 'There is a shortcircuit on feedback of the NTR',Safety circuit module 1 faulty
-884,hard error,The safety circuit module 2 signals: 'The mains frequency monitor has identified a problem',
-885,hard error,The safety circuit module 2 signals: 'There is a shortcircuit on feedback of the NTR',Safety circuit module 2 faulty
-886,hard error,The safety circuit module 3 signals: 'The mains frequency monitor has identified a problem',
-887,hard error,The safety circuit module 3 signals: 'There is a shortcircuit on feedback of the NTR',Safety circuit module 3 faulty
-888,hard error,The safety circuit module 4 signals: 'The mains frequency monitor has identified a problem',
-889,hard error,The safety circuit module 4 signals: 'There is a shortcircuit on feedback of the NTR',Safety circuit module 4 faulty
-890,hard error,Cooling water control valve could not be closed,To prevent steam from beeing formed the valve has to be closed. Check connections to Bus Board. Possible KRV or bus board or wiring fault
-891,hard error,The measured value of ActiveBoard temperature sensor 1 out of range,The temperature sensor 1 (ActiveBoard X15 / TangoBoard X1:1-3) measured value out of range. Possible hardware problem.  bad connection or Pt100 defect. Check and replace if necessary
-892,hard error,The measured value of ActiveBoard temperature sensor 2 out of range,The temperature sensor 2 (ActiveBoard X16 / TangoBoard process temperature) measured value out of range. Possible hardware problem.  bad connection or Pt100 defect. Check and replace if necessary
-893,hard error,The measured value of ActiveBoard temperature sensor 3 out of range,The temperature sensor 3 (ActiveBoard X17 / TangoBoard X1:4-6) measured value out of range. Possible hardware problem.  bad connection or Pt100 defect. Check and replace if necessary
-894,hard error,The measured value of ActiveBoard temperature sensor 4 out of range,The temperature sensor 4 (ActiveBoard X18 / TangoBoard X1:10-12) measured value out of range. Possible hardware problem.  bad connection or Pt100 defect. Check and replace if necessary
-895,hard error,The measured value of ActiveBoard temperature sensor 5 out of range,The temperature sensor 5 (ActiveBoard X19 / TangoBoard X1:7-9) measured value out of range. Possible hardware problem.  bad connection or Pt100 defect. Check and replace if necessary
-896,hard error,The measured value of ActiveBoard temperature sensor 6 out of range,The temperature sensor 6 (ActiveBoard X20) measured value out of range. Possible hardware problem.  bad connection or Pt100 defect. Check and replace if necessary
-897,hard error,The superheat of the intermediate injection of the HT-stage is too small,
-898,hard error,The valve in the vent line has not reacted,Opening or closing of the valve is not possible. Perhaps the valve or the feedback signal is defect
-899,hard error,The level inside the expansion tank is too low,The level must always be higher than 10%. Fill fluid
-900,hard error,Error on receiving data over modbus tcp,
-901,hard error,Unable to send data over modbus tcp,
-902,hard error,
-903,hard error,Smoke detector has tripped,Isolate unit from electrical supply immediately. A suitably qualified person should investigate the unit
-904,hard error,The frequency converter of compressor reports a fault. Possible converter fault,
-940,hard error,Error on receiving data over Ethernet,
-941,hard error,Unable to send data over Ethernet,
-942,hard error,Could not create CAN raw write thread,
-943,hard error,EEPROM database handler error (check /var/log/messages),
-944,hard error,The Active Board does not send data any more,
-945,hard error,The device database of the Pilot ONE is too old,Pilot ONE® exchanged for one with an older software. Update the firmware
-946,hard error,Error on receiving data over RS232,
-947,hard error,Could not init USB serial device,
-948,hard error,Could not clean USB serial device,
-949,hard error,Error on reading USB serial device,
-950,hard error,Error on sending over USB serial device,
-951,hard error,The structure of the Active Board was not received despite several requests, and despite other structures being sent
-952,hard error,Something is configured wrong. See /var/log/messages for details,
-953,hard error,
-954,hard error,
-955,hard error,The USB interface could not be opened,
-956,hard error,CAN PP device could not be opened,
-957,hard error,Timer thread could not be started,
-958,hard error,Could not clean the ActiveBoard structure queue,
-960,hard error,Initialisation of the CAN communication for sending and receiving of ActiveBoard structures failed,
-961,hard error,The ethernet socket could not be set up,
-962,hard error,The buffer for receiving structures from the ActiveBoard is too small. Extend the maximum size in the source code,The initialisation of the EEPROM database failed
-964,hard error,While writing circulator parameter to the database an error occurred,
-965,hard error,While reading out circulator parameter from the database an error occurred,
-966,hard error,Unable to update the circulator parameter database,The PP-command could not be sent over dbus. Could not open one of the CAN protocol files. While decrypting the overtemperature protection setting an error occurred
-971,hard error,Could not initialise the serial port,
-972,hard error,Unable to send data on the serial port,
-973,hard error,Unable to clean the serial port buffer,
-974,hard error,Could not initialise dbus,
-975,hard error,An error occured while reading the structures from the ActiveBoard,
-976,hard error,While trying to lock or unlock the message mutex an error occured,
-977,hard error,While trying to lock or unlock the dbus mutex an error occured,
-978,hard error,Unable to send a structure with dbus,A read error on the 'CAN_raw_buf' device interface occured. A write error on the CAN raw buf device occured. A read error on the 'CAN_raw' device interface occured. A write error on the 'CAN_raw' device interface occurred. A read error on the 'CAN_frag' device interface occured. A write error on the 'CAN_frag' device interface occurred. A read error on the 'CAN_memcpy' device interface occurred. A write error on the 'CAN_memcpy' device interface occurred. A read error on the 'CAN_PP' device interface occurred. A write error on the 'CAN_PP' device interface occurred
-989,hard error,Error on sending to active board,
-990,hard error,CAN interface could not be opened,
-991,hard error,The Service RS232 interface could not be opened,
-992,hard error,CAN interface to Com.G@te could not be opened,
-993,hard error,Error on reading from the CAN interface to Com,
-994,hard error,Error on writing to the CAN interface to Com,
-995,hard error,CAN interface to modules could not be opened,
-996,hard error,Fault on reading from the CAN interface to the modules,
-997,hard error,Fault on writing to the CAN interface to the modules,
-998,hard error,The interface for the Pilot Temperature sensors could not be opened,
-999,hard error,Cannot read from the Pilot Temperature sensors interface,A processor trap (illegal word operand access) has occurred during the initialisation phase 1 (Unistat control). Exchange controller. A processor trap (illegal word operand access has occurred during the initialisation phase 2 (Unistat control). Exchange controller. Ein Prozessor-Trap (illegal word operand access) ist während der Initialisierungsphase 2 aufgetreten (Unistat Control). A processor trap (illegal word operand access has occurred during the initialisation phase 3 (Unistat control). Exchange controller. A processor trap (illegal word operand access has occurred during the initialisation phase 4 (Unistat control). Exchange controller. A processor trap (illegal word operand access has occurred during the initialisation phase 5 (Unistat control). Exchange controller. A processor trap (illegal word operand access has occurred during the initialisation phase 6 (Unistat control). Exchange controller. Ein Prozessor-Trap (illegal word operand access) ist während der Initialisierungsphase 6 aufgetreten (Unistat Control). A processor trap (illegal word operand access has occurred during the initialisation phase 7 (Unistat control). Exchange controller. A processor trap (illegal word operand access has occurred during the initialisation phase 8 (Unistat control). Exchange controller. Ein Prozessor-Trap (illegal word operand access) ist während der Initialisierungsphase 8 aufgetreten (Unistat Control). A processor trap (illegal word operand access has occurred during the initialisation phase 9 (Unistat control). Exchange controller. . A processor trap (illegal word operand access has occurred during the initialisation phase 10 (Unistat control). Exchange controller. A processor trap (illegal word operand access has occurred during the initialisation phase 11 (Unistat control). Exchange controller. Ein Prozessor-Trap (illegal word operand access) ist während der Initialisierungsphase 11 aufgetreten (Unistat Control). The Unistat control notifies: 'Non-Maskable Interrupt' was caused (by a falling flank on NMI processor pin). Should never happen.  as this input is connected to 5V via a 10kOhm resistor. Exchange controller. The Unistat control notifies: Stack-overflow Exchange controller. The Unistat control notifies: Stack-underflow Exchange controller. The Unistat control notifies: SBRK instruction. Exchange controller. The Unistat control notifies: Undefined opcode Exchange controller. The Unistat control notifies: Programm memory interface access error Exchange controller. The Unistat control notifies: Protection fault. Exchange controller. The Unistat control notifies: Illegal word operand access Exchange controller
-9144,hard error,Global output release is rescinded. (Stop Error),A serious internal error has occurred. For safety.  all outputs are turned off
-9999,hard error,No communication from active board to Pilot,
-10001,hard error,Error with Database,The database couldn't be opened. Database missing or corrupt
-10002,hard error,Database corrupt,A mapping of a menu whose item is in the database cannot be found. Menu database corrupt
-10003,hard error,DBus failure,Connection to d-bus could not be established. Process missing or not reachable
-10101,hard error,Database corrupt,A mapping of a configuration whose entry is in the database cannot be found. Config database corrupt
-10102,hard error,Not enough memory,Not enough memory left to complete the current operation
-10109,hard error,Cannot load Machine Configs,An error has occurred in loading the global configuration values from the machine
-10110,hard error,Wrong Language Mapping,The given language id couldn't be found in the mapping table
-10111,hard error,Timer error,An error occurred while starting a timer
-10112,hard error,Couldn't connect to d-bus,The user interface wasn't able to connect to the Control Core of the machine. Application will exit
-10113,hard error,Communication error with d-bus,A Communication error while transferring data to Control Core has occurred
-10114,hard error,PP Command buffer overflow,PP command buffer overflow
-10115,hard error,Wizard Stack too small,Wizard state machine Stack too small. Application will exit
-10116,hard error,Error with Data structures,The d-bus data structures are different (version error
-10117,hard error,D-bus communication error,There was an communication error with the Control Core (d-bus) (structures different
-10118,hard error,Error with d-bus structure,An invalid structure has been sent or received within d-bus
-10120,hard error,Error synchronisation structures from controller,Cannot load the structures from the controller
-10122,hard error,Database error,Database restore was not successful. Giving up. Please contact support
-10123,hard error,The data received from the controller was corrupt,Please inform your Huber Service Provider. Please keep the software version and the machine serial number available. Perhaps also read the machine history using the 'InfoViewer' and send it to your Huber Service Provider
-10126,hard error,Cannot load Global Data,The Global Data function load is called before the Global Data init function Kann keine globalen Daten laden
-10128,hard error,Calendar start synchronisation error,error in synchronizing local rtc with controller rtc Kalenderstartsynchronisationsfehler
-10129,hard error,State machine stack overflow,A state machine stack overflow has occurred.  cannot proceed current operation
-10130,hard error,Control not available,The control application has not started yet
-10131,hard error,D-bus communication error,There was a timeout on the d-bus while communicating with the Control Core
-10133,hard error,Driver error,OT security driver (subproc driver) not loaded
-10134,hard error,Driver error,The security processor doesn't answer.  so the current action will be terminated
-10137,hard error,Display mode error,Cannot initialise display mode Display-Mode Fehler
-10138,hard error,Display mode error,Cannot set display mode Display-Mode Fehler
-10139,hard error,Display mode error,No gui widget available Display-Mode Fehler
-10141,hard error,PoCo abstraction layer,There is an error with the PoCo channel POKO-Abstraktionsschicht
-10142,hard error,Sim file error,The device sim file is not available
-10143,hard error,Database error,Hiding or activating of this menu point is not possible. Does menu point exist
-10144,hard error,Custom factory default settings error,
-10150,hard error,Error with Database,Database query is null
-10151,hard error,Error with Database,There seems to be something wrong with the config table
-10152,hard error,Error with Database,There seems to be something wrong with the menu_entry table
-10153,hard error,Error with Database,There seems to be something wrong with the menu_tree table
-10154,hard error,Error with Database,The database version cannot be read from the database
-10159,hard error,Couldn't open ConAdapter,See /var/log/messages for details
-10160,hard error,Couldn't connect to ConAdapter See /var/log/messages for details,
-10161,hard error,Couldn't initialise ConAdapter,
-10162,hard error,Couldn't register ConAdapter See /var/log/messages for details,
-10163,hard error,Error with IPC COM module See /var/log/messages for details,
-15000,hard error,CAN Controller communication error,The communication to the CAN Controller is not working correctly
-15002,hard error,CAN Controller EEPROM error,The CAN Controller EEPROM is invalid
-15003,hard error,CAN Controller firmware error,The CAN Controller firmware validity check failed
-15004,hard error,CAN Controller CAN error,The CAN Controller CAN module could not be started correctly. CAN Controller CAN-Fehler. Das CAN-Controller CAN-Modul kann nicht korrekt gestartet werden
-15005,hard error,OT value mismatch,The OT values are not correct set. Please input them again in the OT menu
-15007,hard error,Touch Controller initialisation error,The initialization of the Touch Controller failed
-15030,hard error,Firmware validity check failed,The firmware is corrupted. Please flash the latest firmware with Pilot ONE® Flasher. Break. Despite the pump rotating an increase in pump pressure cannot be detected. Is the Pump dry. Check if sufficient fluid (at least 1/3rd full sightglass. Air in system. Check air vent valve(if fitted) is open. Check if isolating rod in expansion tank is removed. Start the pump by hand a few times.  and then use the air purge function. Despite the pump rotating an increase in pump pressure cannot be detected. Is the Pumpe trocken
-1025,resettable error,there is no control panel available,Check Pilot connector at bottom of Pilot or cable connections. Check software version same for Pilot and Controller
-1026,resettable error,Notification from the control panel that no controller is present or that the initialisation has taken too long,Check Pilot connector at bottom of Pilot or cable connections. Check software version same for Pilot and Controller
-1027,resettable error,Pump dry,Check if sufficient fluid (at least 1/3rd full sightglass. Is fluid very viscous. Air in system. Check air vent valve(if fitted) is open. Check if isolating rod in expansion tank is removed. Start the pump by hand a few times.  and then use the air purge function. Pumpe trocken
-1028,resettable error,Controller and control panel software are not compatible,Check software version of Pilot and Controller. Flash new compatible software on Pilot and Controller. Der Control meldet.  dass Control- und Pilot-Softwareversion nicht kompatibel sind
-1029,resettable error,OT temperature impulse not OK,Heating does not operate. At power on.  and at pump start.  a short heating impulse is given.  and it is tested if a definite increase of the OverTemp temperature is registered → No level. The same message is given when it is discovered during operation that the level has fallen. Fluid level too low. Correct fluid chosen. Check and refill. (Usually for Immersion circulators)
-1030,resettable error,Level when pump starts not OK,Failure of Level registration using the pump operating characteristics. Fluid level too low. Check and refill. (Usually for Immersion Thermostats)
-1031,resettable error,Level switch F2M1 has operated,The level switch has operated. Check level and refill. NOTE:- An essential protection system
-1032,resettable error,Oil cannot be pumped. Temp too low,Machine designed for highly viscous HTF. The minimum temperature in the heated feed lines must be maintained. Wait until working temperature is reached
-1033,resettable error,Process pump dry,Check if sufficient fluid is in the process circuit
-1034,resettable error,The communication watchdog time has expired. Circulator is set to standby mode,
-1035,resettable error,Unable to start. Select current draw first,
-1036,resettable error,Unable to start. Select supply voltage first,Go to menu point 'Installation Guide' → 'Supply Voltage' and enter supply voltage
-1037,resettable error,The level inside the expansion tank is too low,While air venting is active the level must always be higher than 10%. Fill fluid
-10004,resettable error,DBus failure,An error occurred while communicating to the d-bus. Warning
-2053,warning,AIF-IN signal not okay,The signal current from the transmitter is considerably outside the permitted limits of 0.5mA and 24.5mA. Check the analogue input current with a meter to see if it is correct. NOTE:- Too high a current can damage the interface
-2055,warning,Condensation temperature warning,Check that enough air/water is flowing. Air cooled machines check good cooling air circulation. Check fans working and that condenser fins clean. Water cooled machines - check water differential pressure / inlet temperature. Check water filter
-2063,warning,Main loop taking too long,
-2064,warning,Static pump pressure warning,Pump static pressure is too high. System pressurised or expansion tank placed at high level. Use the 'Hydrostatic correction' feature. Possible Pump pressure sensor fault. During the comparison of the 3 EEPROM data sets one set was found to be corrupt and was corrected
-2066,warning,The maximum number of warning signals to be checked,Low external volume. During the identification of the circulation volume.  no significant external volume could be detected.  so the smallest minimum value possible is taken. The fluid circuit identification requires that there is a delay between temp jump out and measured temp jump return. If no time delay or reaction time to fast.  the algorithm cannot work. In this case.  the smallest possible has been assumed. Delta-T between Jacket/bath and OT sensor too large. The heating was reduced or turned off due to the difference between the over-temperature trip sensor and jacket-temperature being is too high. The heating is reduced to minimise excessively high surface temperatures on the heating element. This is a typical sign of very poor fluid circulation. The heat energy in the heater is not transferred out of the chamber to the outlet temperature sensor. Temp difference between heater and outlet is greater than 30°C. Heater turned off. Ensure flow is improved.  or thinner oil is used. Help can often be given by reducing the heating power by 50% or so. Cannot write to seven segment display. Possible controller fault.  bad plug connector or controller or bus board fault. Test by replacement. The flow diagram could not be written to. Possible controller fault.  bad plug connector or controller or bus board fault. Test by replacement. The rpm-set point was reduced because the pump could not reach the desired rpm (due to high viscosity or density)Is not used anymore because Anti wind-up has been introduced. Pump speed reduced due to high fluid viscosity
-2072,warning,OT Expansion vessel is 5K before trip point,Check the over temperature setting of expansion tank. The warning says that the expansion tank temperature has risen to shortly before the shut off point. Possibly something in the fluid is boiling to cause this
-2073,warning,The maximum number of notifications has been reached. The reason is either a programming error or really so many notifications have accumulated over time,Possible software error. Reflash Controller and Pilot with newest software.  or exchange with a known good set
-2074,warning,Compressor turned off due to low temperature,The compressor has been turned off as the jacket temperature is considerably lower than than the Min SP. Heating fault. PID not okay. The compressor has been turned off as the jacket temperature is considerably lower than than the Min SP. Heating fault
-2075,warning,The Set point limits have been reached,The set point boundaries were exceeded by the internal temperatures. Reaction: the maximum heat or cooling capacity is limited. The machine runs at reduced heating / cooling power to prevent the max / min set points being exceeded. Check these are correct.  and that the machine is not being overloaded
-2076,warning,A fault has occurred when reading out the AD-converter values of the AD7738 chip via SPI. Possible Controller fault. Check by replacement. If fault persists,
